Node Name,Output Tensor Name,Output Tensor Dimention,Output Tensor Size (Mb)
/conv1/Conv,/conv1/Conv_output_0,"(1, 64, 112, 112)",24.5
/relu/Relu,/relu/Relu_output_0,"(1, 64, 112, 112)",24.5
/maxpool/MaxPool,/maxpool/MaxPool_output_0,"(1, 64, 56, 56)",6.125
/layer1/layer1.0/conv1/Conv,/layer1/layer1.0/conv1/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.0/relu/Relu,/layer1/layer1.0/relu/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.0/conv2/Conv,/layer1/layer1.0/conv2/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.0/relu_1/Relu,/layer1/layer1.0/relu_1/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.0/conv3/Conv,/layer1/layer1.0/conv3/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.0/downsample/downsample.0/Conv,/layer1/layer1.0/downsample/downsample.0/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.0/Add,/layer1/layer1.0/Add_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.0/relu_2/Relu,/layer1/layer1.0/relu_2/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.1/conv1/Conv,/layer1/layer1.1/conv1/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.1/relu/Relu,/layer1/layer1.1/relu/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.1/conv2/Conv,/layer1/layer1.1/conv2/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.1/relu_1/Relu,/layer1/layer1.1/relu_1/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.1/conv3/Conv,/layer1/layer1.1/conv3/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.1/Add,/layer1/layer1.1/Add_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.1/relu_2/Relu,/layer1/layer1.1/relu_2/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.2/conv1/Conv,/layer1/layer1.2/conv1/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.2/relu/Relu,/layer1/layer1.2/relu/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.2/conv2/Conv,/layer1/layer1.2/conv2/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.2/relu_1/Relu,/layer1/layer1.2/relu_1/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.2/conv3/Conv,/layer1/layer1.2/conv3/Conv_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.2/Add,/layer1/layer1.2/Add_output_0,"(1, 256, 56, 56)",24.5
/layer1/layer1.2/relu_2/Relu,/layer1/layer1.2/relu_2/Relu_output_0,"(1, 256, 56, 56)",24.5
/layer2/layer2.0/conv1/Conv,/layer2/layer2.0/conv1/Conv_output_0,"(1, 512, 56, 56)",49.0
/layer2/layer2.0/relu/Relu,/layer2/layer2.0/relu/Relu_output_0,"(1, 512, 56, 56)",49.0
/layer2/layer2.0/conv2/Conv,/layer2/layer2.0/conv2/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.0/relu_1/Relu,/layer2/layer2.0/relu_1/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.0/conv3/Conv,/layer2/layer2.0/conv3/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.0/downsample/downsample.0/Conv,/layer2/layer2.0/downsample/downsample.0/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.0/Add,/layer2/layer2.0/Add_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.0/relu_2/Relu,/layer2/layer2.0/relu_2/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.1/conv1/Conv,/layer2/layer2.1/conv1/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.1/relu/Relu,/layer2/layer2.1/relu/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.1/conv2/Conv,/layer2/layer2.1/conv2/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.1/relu_1/Relu,/layer2/layer2.1/relu_1/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.1/conv3/Conv,/layer2/layer2.1/conv3/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.1/Add,/layer2/layer2.1/Add_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.1/relu_2/Relu,/layer2/layer2.1/relu_2/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.2/conv1/Conv,/layer2/layer2.2/conv1/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.2/relu/Relu,/layer2/layer2.2/relu/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.2/conv2/Conv,/layer2/layer2.2/conv2/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.2/relu_1/Relu,/layer2/layer2.2/relu_1/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.2/conv3/Conv,/layer2/layer2.2/conv3/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.2/Add,/layer2/layer2.2/Add_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.2/relu_2/Relu,/layer2/layer2.2/relu_2/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.3/conv1/Conv,/layer2/layer2.3/conv1/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.3/relu/Relu,/layer2/layer2.3/relu/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.3/conv2/Conv,/layer2/layer2.3/conv2/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.3/relu_1/Relu,/layer2/layer2.3/relu_1/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.3/conv3/Conv,/layer2/layer2.3/conv3/Conv_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.3/Add,/layer2/layer2.3/Add_output_0,"(1, 512, 28, 28)",12.25
/layer2/layer2.3/relu_2/Relu,/layer2/layer2.3/relu_2/Relu_output_0,"(1, 512, 28, 28)",12.25
/layer3/layer3.0/conv1/Conv,/layer3/layer3.0/conv1/Conv_output_0,"(1, 1024, 28, 28)",24.5
/layer3/layer3.0/relu/Relu,/layer3/layer3.0/relu/Relu_output_0,"(1, 1024, 28, 28)",24.5
/layer3/layer3.0/conv2/Conv,/layer3/layer3.0/conv2/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.0/relu_1/Relu,/layer3/layer3.0/relu_1/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.0/conv3/Conv,/layer3/layer3.0/conv3/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.0/downsample/downsample.0/Conv,/layer3/layer3.0/downsample/downsample.0/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.0/Add,/layer3/layer3.0/Add_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.0/relu_2/Relu,/layer3/layer3.0/relu_2/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.1/conv1/Conv,/layer3/layer3.1/conv1/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.1/relu/Relu,/layer3/layer3.1/relu/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.1/conv2/Conv,/layer3/layer3.1/conv2/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.1/relu_1/Relu,/layer3/layer3.1/relu_1/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.1/conv3/Conv,/layer3/layer3.1/conv3/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.1/Add,/layer3/layer3.1/Add_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.1/relu_2/Relu,/layer3/layer3.1/relu_2/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.2/conv1/Conv,/layer3/layer3.2/conv1/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.2/relu/Relu,/layer3/layer3.2/relu/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.2/conv2/Conv,/layer3/layer3.2/conv2/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.2/relu_1/Relu,/layer3/layer3.2/relu_1/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.2/conv3/Conv,/layer3/layer3.2/conv3/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.2/Add,/layer3/layer3.2/Add_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.2/relu_2/Relu,/layer3/layer3.2/relu_2/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.3/conv1/Conv,/layer3/layer3.3/conv1/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.3/relu/Relu,/layer3/layer3.3/relu/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.3/conv2/Conv,/layer3/layer3.3/conv2/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.3/relu_1/Relu,/layer3/layer3.3/relu_1/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.3/conv3/Conv,/layer3/layer3.3/conv3/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.3/Add,/layer3/layer3.3/Add_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.3/relu_2/Relu,/layer3/layer3.3/relu_2/Relu_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.4/conv1/Conv,/layer3/layer3.4/conv1/Conv_output_0,"(1, 1024, 14, 14)",6.125
/layer3/layer3.4/relu/Relu,/layer3/layer3.4/relu/Relu_output_0,"(1, 1024, 14, 14)",6.125
